[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
,demand_period= 2, md,time_period=1200_1300
,demand_period= 3, pm,time_period=1600_1700
[PROCESS INFO] Step 1.2: Reading file mode_type.csv...
mode_type =, auto, real time info flag = 0
mode_type =, bike, real time info flag = 0
mode_type =, walk, real time info flag = 0
[PROCESS INFO] Step 1.25: Reading optional activity_travel_pattern.csv...
[DATA INFO] activity_travel_pattern_index= external_auto, activity_travel_pattern_id=external_auto, number_of_trips=1
[DATA INFO] activity_travel_pattern_index= external_park_ride, activity_travel_pattern_id=external_park_ride, number_of_trips=2
[DATA INFO] activity_travel_pattern_index= external_bike_walk, activity_travel_pattern_id=external_bike_walk, number_of_trips=2
link_type =, 1, link_type_name = highway
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 2, link_type_name = arterial
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 3, link_type_name = collector
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 100, link_type_name = connector
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 4, link_type_name = bikeonly
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 5, link_type_name = walkonly
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 200, link_type_name = y_n_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 202, link_type_name = y_n_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 203, link_type_name = y_n_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 204, link_type_name = y_n_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 205, link_type_name = y_n_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 220, link_type_name = y_bf_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 222, link_type_name = y_bf_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 223, link_type_name = y_bf_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 224, link_type_name = y_bf_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 225, link_type_name = y_bf_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 230, link_type_name = y_ln_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 232, link_type_name = y_ln_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 233, link_type_name = y_ln_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 234, link_type_name = y_ln_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 235, link_type_name = y_ln_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 240, link_type_name = y_pro_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 242, link_type_name = y_pro_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 243, link_type_name = y_pro_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 244, link_type_name = y_pro_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 245, link_type_name = y_pro_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 250, link_type_name = y_sh_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 252, link_type_name = y_sh_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 253, link_type_name = y_sh_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 254, link_type_name = y_sh_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 255, link_type_name = y_sh_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 260, link_type_name = y_cc_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 262, link_type_name = y_cc_bs
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 263, link_type_name = y_cc_ws
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 264, link_type_name = y_cc_cc
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 265, link_type_name = y_cc_oth
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 110, link_type_name = n_mp_n
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 111, link_type_name = n_mp_mp
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 101, link_type_name = n_n_mp
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 600,free_speed=13.2
,mode_type= walk,cap= 1000,free_speed=4.8
link_type =, 102, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 103, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 104, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 105, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 120, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 122, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 123, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 124, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 125, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 130, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 132, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 133, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 134, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 135, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 140, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 142, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 143, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 144, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 145, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 150, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 152, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 153, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 154, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 155, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 160, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 162, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 163, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 164, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
link_type =, 165, link_type_name = 
,mode_type= auto,cap= 2000,free_speed=60
,mode_type= bike,cap= 2000,free_speed=60
,mode_type= walk,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 24
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
,summary by multi-modal and demand types,demand_period,mode_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,76,60,96.5604,314,778788,10247.2,4131.58,
,,am,bike,76,60,96.5604,314,778788,10247.2,4131.58,
,,am,walk,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,auto,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,bike,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,walk,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,auto,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,bike,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,walk,76,60,96.5604,314,778788,10247.2,4131.58,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,0,,0,0,0,0,0,0,0,
,,1,highway,76,60,96.5604,314,778788,10247.2,4131.58,
,,2,arterial,0,0,0,0,0,0,0,
,,3,collector,0,0,0,0,0,0,0,
,,4,bikeonly,0,0,0,0,0,0,0,
,,5,walkonly,0,0,0,0,0,0,0,
,,100,connector,0,0,0,0,0,0,0,
,,101,n_n_mp,0,0,0,0,0,0,0,
,,102,,0,0,0,0,0,0,0,
,,103,,0,0,0,0,0,0,0,
,,104,,0,0,0,0,0,0,0,
,,105,,0,0,0,0,0,0,0,
,,110,n_mp_n,0,0,0,0,0,0,0,
,,111,n_mp_mp,0,0,0,0,0,0,0,
,,120,,0,0,0,0,0,0,0,
,,122,,0,0,0,0,0,0,0,
,,123,,0,0,0,0,0,0,0,
,,124,,0,0,0,0,0,0,0,
,,125,,0,0,0,0,0,0,0,
,,130,,0,0,0,0,0,0,0,
,,132,,0,0,0,0,0,0,0,
,,133,,0,0,0,0,0,0,0,
,,134,,0,0,0,0,0,0,0,
,,135,,0,0,0,0,0,0,0,
,,140,,0,0,0,0,0,0,0,
,,142,,0,0,0,0,0,0,0,
,,143,,0,0,0,0,0,0,0,
,,144,,0,0,0,0,0,0,0,
,,145,,0,0,0,0,0,0,0,
,,150,,0,0,0,0,0,0,0,
,,152,,0,0,0,0,0,0,0,
,,153,,0,0,0,0,0,0,0,
,,154,,0,0,0,0,0,0,0,
,,155,,0,0,0,0,0,0,0,
,,160,,0,0,0,0,0,0,0,
,,162,,0,0,0,0,0,0,0,
,,163,,0,0,0,0,0,0,0,
,,164,,0,0,0,0,0,0,0,
,,165,,0,0,0,0,0,0,0,
,,200,y_n_n,0,0,0,0,0,0,0,
,,202,y_n_bs,0,0,0,0,0,0,0,
,,203,y_n_ws,0,0,0,0,0,0,0,
,,204,y_n_cc,0,0,0,0,0,0,0,
,,205,y_n_oth,0,0,0,0,0,0,0,
,,220,y_bf_n,0,0,0,0,0,0,0,
,,222,y_bf_bs,0,0,0,0,0,0,0,
,,223,y_bf_ws,0,0,0,0,0,0,0,
,,224,y_bf_cc,0,0,0,0,0,0,0,
