link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,lanes_p1_s0_walk,lanes_p1_s0_bike,lanes_p1_s0_bus,lanes_p1_s0_truck,lanes_p1_s0_cav,lanes_p1_s0_ev,lanes_p1_s0_hov,VOL_p1_s0_auto,VOL_p1_s0_walk,VOL_p1_s0_bike,VOL_p1_s0_bus,VOL_p1_s0_truck,VOL_p1_s0_cav,VOL_p1_s0_ev,VOL_p1_s0_hov,MEU_p1_s0_auto,MEU_p1_s0_walk,MEU_p1_s0_bike,MEU_p1_s0_bus,MEU_p1_s0_truck,MEU_p1_s0_cav,MEU_p1_s0_ev,MEU_p1_s0_hov,CAP_p1_s0_auto,CAP_p1_s0_walk,CAP_p1_s0_bike,CAP_p1_s0_bus,CAP_p1_s0_truck,CAP_p1_s0_cav,CAP_p1_s0_ev,CAP_p1_s0_hov,PEN_p1_s0_auto,PEN_p1_s0_walk,PEN_p1_s0_bike,PEN_p1_s0_bus,PEN_p1_s0_truck,PEN_p1_s0_cav,PEN_p1_s0_ev,PEN_p1_s0_hov,DOC_p1_s0_auto,DOC_p1_s0_walk,DOC_p1_s0_bike,DOC_p1_s0_bus,DOC_p1_s0_truck,DOC_p1_s0_cav,DOC_p1_s0_ev,DOC_p1_s0_hov,TT_p1_s0_auto,TT_p1_s0_walk,TT_p1_s0_bike,TT_p1_s0_bus,TT_p1_s0_truck,TT_p1_s0_cav,TT_p1_s0_ev,TT_p1_s0_hov,CO2_p1_s0_auto,CO2_p1_s0_walk,CO2_p1_s0_bike,CO2_p1_s0_bus,CO2_p1_s0_truck,CO2_p1_s0_cav,CO2_p1_s0_ev,CO2_p1_s0_hov,NOX_p1_s0_auto,NOX_p1_s0_walk,NOX_p1_s0_bike,NOX_p1_s0_bus,NOX_p1_s0_truck,NOX_p1_s0_cav,NOX_p1_s0_ev,NOX_p1_s0_hov,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_25nb_walk,MEU_am_25nb_walk,CAP_am_25nb_walk,PEN_am_25nb_walk,DOC_am_25nb_walk,TT_am_25nb_walk,CO2_am_25nb_walk,NOX_am_25nb_walk,VOL_am_25nb_bike,MEU_am_25nb_bike,CAP_am_25nb_bike,PEN_am_25nb_bike,DOC_am_25nb_bike,TT_am_25nb_bike,CO2_am_25nb_bike,NOX_am_25nb_bike,VOL_am_25nb_bus,MEU_am_25nb_bus,CAP_am_25nb_bus,PEN_am_25nb_bus,DOC_am_25nb_bus,TT_am_25nb_bus,CO2_am_25nb_bus,NOX_am_25nb_bus,VOL_am_25nb_truck,MEU_am_25nb_truck,CAP_am_25nb_truck,PEN_am_25nb_truck,DOC_am_25nb_truck,TT_am_25nb_truck,CO2_am_25nb_truck,NOX_am_25nb_truck,VOL_am_25nb_cav,MEU_am_25nb_cav,CAP_am_25nb_cav,PEN_am_25nb_cav,DOC_am_25nb_cav,TT_am_25nb_cav,CO2_am_25nb_cav,NOX_am_25nb_cav,VOL_am_25nb_ev,MEU_am_25nb_ev,CAP_am_25nb_ev,PEN_am_25nb_ev,DOC_am_25nb_ev,TT_am_25nb_ev,CO2_am_25nb_ev,NOX_am_25nb_ev,VOL_am_25nb_hov,MEU_am_25nb_hov,CAP_am_25nb_hov,PEN_am_25nb_hov,DOC_am_25nb_hov,TT_am_25nb_hov,CO2_am_25nb_hov,NOX_am_25nb_hov,
1,1,motorway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23901.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5848.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25900.2,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2582,0.0000,0.0000,0.0000,2.2582,2.2582,2.2582,2.2582,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,15766.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.7,5848.7,25900.201,0.000,2.2582,15.000,15766.389,2.675,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.2582,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.2582,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.2582,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.2582,15.000,0.000,0.000,
2,2,motorway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21404.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23403.5,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9876,0.0000,0.0000,0.0000,2.9876,2.9876,2.9876,2.9876,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,16366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6992.0,6992.0,23403.473,0.000,2.9876,15.000,16365.982,2.310,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.9876,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.9876,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.9876,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.9876,15.000,0.000,0.000,
3,3,motorway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23901.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4715.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4715.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25900.2,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8207,0.0000,0.0000,0.0000,1.8207,1.8207,1.8207,1.8207,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,12712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4715.6,4715.6,25900.201,0.000,1.8207,15.000,12712.018,2.157,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,1.8207,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,1.8207,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,1.8207,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,1.8207,15.000,0.000,0.000,
4,4,motorway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,60.000000,0.000000,4958.180928,2959.180928,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4958.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7698.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7698.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4958.2,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,9.9900,9.9900,9.9900,9.9900,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,19336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7698.2,7698.2,4958.181,0.000,9.9900,15.000,19335.958,3.012,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,
5,5,motorway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21404.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23403.5,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4717,0.0000,0.0000,0.0000,3.4717,3.4717,3.4717,3.4717,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,19018.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,8125.0,23403.473,0.000,3.4717,15.000,19018.089,2.684,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,3.4717,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,3.4717,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,3.4717,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,3.4717,15.000,0.000,0.000,
6,6,motorway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15111.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7296.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17110.5,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2641,0.0000,0.0000,0.0000,4.2641,4.2641,4.2641,4.2641,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,17078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7296.2,7296.2,17110.524,0.000,4.2641,15.000,17078.030,2.410,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.2641,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.2641,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.2641,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.2641,15.000,0.000,0.000,
7,7,motorway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21404.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4835.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4835.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23403.5,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0663,0.0000,0.0000,0.0000,2.0663,2.0663,2.0663,2.0663,14.9,999900.0,999900.0,999900.0,14.9,14.9,14.9,14.9,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4835.8,4835.8,23403.473,0.000,2.0663,14.937,11284.999,1.595,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.0663,14.937,0.000,0.000,0.0,0.0,2000.000,0.000,2.0663,14.937,0.000,0.000,0.0,0.0,2000.000,0.000,2.0663,14.937,0.000,0.000,0.0,0.0,2000.000,0.000,2.0663,14.937,0.000,0.000,
8,8,motorway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15111.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17110.5,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9093,0.0000,0.0000,0.0000,4.9093,4.9093,4.9093,4.9093,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,19661.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,8400.0,17110.524,0.000,4.9093,15.000,19661.778,2.775,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.9093,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.9093,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.9093,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,4.9093,15.000,0.000,0.000,
9,9,motorway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,60.000000,0.000000,17782.794100,15783.794100,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17782.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17782.8,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6486,0.0000,0.0000,0.0000,2.6486,2.6486,2.6486,2.6486,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,9582.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4710.0,4710.0,17782.794,0.000,2.6486,15.000,9582.657,1.049,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.6486,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.6486,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.6486,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,2.6486,15.000,0.000,0.000,
10,10,motorway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2909.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11995.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4908.8,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9900,0.0000,0.0000,0.0000,9.9900,9.9900,9.9900,9.9900,15.0,999900.0,999900.0,999900.0,15.0,15.0,15.0,15.0,32336.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11995.6,11995.6,4908.827,0.000,9.9900,15.000,32336.864,5.486,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,1999.000,0.000,0.0000,999900.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,0.0,0.0,2000.000,0.000,9.9900,15.000,0.000,0.000,
